ID,Осетровых,лососевых,сиговых,растителеядных,частиковых
2000,82.7,684.7,46.1,50.7,5781.9
2001,93.6,598.5,59.0,66.4,5939.7
2002,89.9,692.0,66.5,93.9,5908.6
2003,70.6,631.6,61.5,97.7,6111.6
2004,70.3,690.0,59.5,86.4,5544.0
2005,59.6,682.5,45.4,83.3,6065.9
2006,72.1,694.9,34.5,77.1,6533.6
2007,70.7,759.5,59.9,68.5,6689.5
2008,57.2,930.9,86.4,40.7,6788.6
2009,37.9,813.2,96.5,27.4,8451.4
2010,51.3,1110.0,109.2,24.0,8757.1
2011,47.1,958.5,150.0,29.8,8588.0
2012,45.2,929.9,19.8,27.7,8908.5
2013,55.3,1016.4,26.8,26.4,8149.3
2014,59.8,1073.0,48.7,25.5,7653.9
2015,58.5,993.4,95.7,27.4,7798.6
