ID,G1,G2,G3,G4,G5
1992,0.060,0.116,0.176,0.265,0.383
1993,0.051,0.094,0.149,0.238,0.468
1994,0.054,0.101,0.151,0.227,0.467
1995,0.061,0.108,0.152,0.216,0.463
1996,0.061,0.107,0.153,0.218,0.461
1997,0.058,0.105,0.152,0.223,0.462
1998,0.060,0.105,0.150,0.215,0.470
1999,0.059,0.104,0.148,0.211,0.467
2000,0.059,0.104,0.151,0.219,0.467
2001,0.057,0.104,0.154,0.228,0.457
2002,0.057,0.104,0.154,0.227,0.458
2003,0.055,0.103,0.153,0.227,0.462
2004,0.054,0.101,0.151,0.227,0.467
2005,0.054,0.101,0.151,0.227,0.467
2006,0.052,0.099,0.150,0.226,0.473
2007,0.051,0.098,0.148,0.225,0.478
2008,0.051,0.097,0.148,0.225,0.479
2009,0.051,0.098,0.148,0.225,0.478

