ID,G1,G2,G3,G4,G5,G6
1994,116391,345921,18866,18228,17917,7996
1995,114335,342906,16781,18077,18049,8542
1996,110295,317789,16256,16326,16033,8097
1997,107800,292675,15456,15317,15527,8333
1998,100269,265175,15944,13889,13777,7904
1999,100458,268307,16230,13799,13534,7884
1900,99834,274955,15539,14390,13259,7977
1901,97615,273597,15669,14259,13159,7877
1902,96887,266549,16849,14061,12571,7759
1903,96328,256921,22039,13735,12565,8187
1904,91698,258850,15907,14280,12467,8223
1905,91570,249358,15672,13724,12497,8300
1906,89304,248201,15896,13447,13721,8370
1907,94668,244475,16734,13743,13740,9489
1908,91117,232463,16713,13622,13012,8877
1909,89856,227403,16652,13217,13272,8837

